,similarity,sentence1,sentence2
2404,contradiction,A girl wearing makeup playing a bass.,A girl is playing the violin.
2405,neutral,A girl wearing makeup playing a bass.,A girl loves to get made up.
2406,entailment,A girl wearing makeup playing a bass.,A girl is musical.
2407,entailment,A person is climbing a cliff wall that overlooks water.,A person is climbing.
2408,neutral,A person is climbing a cliff wall that overlooks water.,A man is climbing.
2409,contradiction,A person is climbing a cliff wall that overlooks water.,A person is walking on the beach.
2410,contradiction,A middle-aged man in a bicycle race trying his hardest on the sand surrounded by watching crowd.,A small girl bounces on a pogo stick.
2411,neutral,A middle-aged man in a bicycle race trying his hardest on the sand surrounded by watching crowd.,A man on a bicycle struggles as the comes to the end of a race.
2412,entailment,A middle-aged man in a bicycle race trying his hardest on the sand surrounded by watching crowd.,A man is riding a bicycle.
2413,contradiction,"Man on bike, with bike clothing and helmet on, having trouble maneuvering through sand from beach.",The man is sailing a boat.
2414,entailment,"Man on bike, with bike clothing and helmet on, having trouble maneuvering through sand from beach.",The man is riding a bike in sand.
2415,neutral,"Man on bike, with bike clothing and helmet on, having trouble maneuvering through sand from beach.",The man is riding in a bike race.
2416,contradiction,A person is wearing a helmet and protective clothing while riding a four-wheeled vehicle.,The person is riding a bicycle.
2417,neutral,A person is wearing a helmet and protective clothing while riding a four-wheeled vehicle.,The person is wearing black.
2418,entailment,A person is wearing a helmet and protective clothing while riding a four-wheeled vehicle.,The person has a helmet on.
2419,-,This is a heated hockey match at the goal line.,They are contesting the goal right near the post.
2420,neutral,This is a heated hockey match at the goal line.,The Stanley Cup from 2013.
2421,contradiction,This is a heated hockey match at the goal line.,Tiger Woods gets a hole in one.
2422,neutral,Three hockey players are in the middle of a play.,the players are playing for the championship
2423,contradiction,Three hockey players are in the middle of a play.,the bird is red
2424,entailment,Three hockey players are in the middle of a play.,the players are playing a game
2425,contradiction,An infant is in a crib and crying.,A puppy is eating food.
2426,neutral,An infant is in a crib and crying.,A baby is crying for it's mother.
2427,entailment,An infant is in a crib and crying.,A baby is unhappy.
2428,contradiction,Two children run up the street on the sidewalk near the building.,The children are inside.
2429,entailment,Two children run up the street on the sidewalk near the building.,The children are outside.
2430,neutral,Two children run up the street on the sidewalk near the building.,The children are going home.
2431,entailment,A large man dressed in black on a street corner by a red brick building.,A man is on the street corner.
2432,contradiction,A large man dressed in black on a street corner by a red brick building.,A man got shot on the street corner.
2433,neutral,A large man dressed in black on a street corner by a red brick building.,A man is waiting for the boss on the street corner.
2434,entailment,Two men in animal print pants sleep on a white bed.,Two men are inside.
2435,neutral,Two men in animal print pants sleep on a white bed.,Two guys are exhausted after making love.
2436,contradiction,Two men in animal print pants sleep on a white bed.,A woman watches TV.
2437,contradiction,A woman in an orange shirt is enjoying food in a public setting.,the lady is ice skating
2438,neutral,A woman in an orange shirt is enjoying food in a public setting.,the lady in the orange shirt is eating her lunch
2439,entailment,A woman in an orange shirt is enjoying food in a public setting.,the lady in the orange shirt is eating
2440,neutral,Two dogs biting each other playfully while jumping,Two dogs are playing outdoors
2441,contradiction,Two dogs biting each other playfully while jumping,Two dogs are biting each other while fighting and growling
2442,entailment,Two dogs biting each other playfully while jumping,Two dogs are playing.
2443,entailment,An audience cheers at a concert.,An audience making noise at a concert.
2444,neutral,An audience cheers at a concert.,An audience making noise at a Weezer concert.
2445,contradiction,An audience cheers at a concert.,An audience sitting in a room quietly listening to poetry.
2446,entailment,"Lady vendor selling her goods, one man standing on a post, and two men in a wholesale store.",A woman and three men.
2447,neutral,"Lady vendor selling her goods, one man standing on a post, and two men in a wholesale store.","A woman selling roses, a police officer, two men shopping in a wholesale store."
2448,contradiction,"Lady vendor selling her goods, one man standing on a post, and two men in a wholesale store.",A dog sits alone next to a swimming pool.
2449,entailment,A guy tries to climb a stone cliff while his friend helps him.,A person is helping pull someone else up a cliff.
2450,entailment,A guy tries to climb a stone cliff while his friend helps him.,Two people are climbing a cliff.
2451,contradiction,A guy tries to climb a stone cliff while his friend helps him.,Two men are standing on a beach looking up at a cliff.
2452,contradiction,"A girl dressed in a pink shirt, jeans, and flip-flops sitting down playing with a lollipop machine.",Nobody has a shirt
2453,neutral,"A girl dressed in a pink shirt, jeans, and flip-flops sitting down playing with a lollipop machine.",A funny person in a shirt
2454,neutral,"A girl dressed in a pink shirt, jeans, and flip-flops sitting down playing with a lollipop machine.",A person in a shirt
2455,entailment,A group of people sit before a campfire.,People are around a fire
2456,contradiction,A group of people sit before a campfire.,The elephant sits on a dog
2457,neutral,A group of people sit before a campfire.,They are making smores
2458,neutral,A boy with a basketballs glowers at the camera.,The boy doesn't like playing basketball
2459,contradiction,A boy with a basketballs glowers at the camera.,The boy is smiling
2460,entailment,A boy with a basketballs glowers at the camera.,The boy scowls
2461,neutral,A man wearing a blue hat and a blue shirt selling bananas from his wheel cart on the street.,An arms dealer selling his wares outside of police station by cleverly disguising the assault rifles as ordinary bananas.
